epoch,eeg_abspow,eeg_abspow_c7min_norm,eeg_abspow_p2min_norm,eeg_alpha,eeg_alpha_c7min_norm,eeg_alpha_p2min_norm,eeg_at,eeg_at_c7min_norm,eeg_at_p2min_norm,eeg_beta,eeg_beta_c7min_norm,eeg_beta_p2min_norm,eeg_db,eeg_db_c7min_norm,eeg_db_p2min_norm,eeg_ds,eeg_ds_c7min_norm,eeg_ds_p2min_norm,eeg_dt,eeg_dt_c7min_norm,eeg_dt_p2min_norm,eeg_fdelta,eeg_fdelta_c7min_norm,eeg_fdelta_p2min_norm,eeg_hcomp,eeg_hcomp_c7min_norm,eeg_hcomp_p2min_norm,eeg_higuchi,eeg_higuchi_c7min_norm,eeg_higuchi_p2min_norm,eeg_hmob,eeg_hmob_c7min_norm,eeg_hmob_p2min_norm,eeg_iqr,eeg_iqr_c7min_norm,eeg_iqr_p2min_norm,eeg_kurt,eeg_kurt_c7min_norm,eeg_kurt_p2min_norm,eeg_nzc,eeg_nzc_c7min_norm,eeg_nzc_p2min_norm,eeg_perm,eeg_perm_c7min_norm,eeg_perm_p2min_norm,eeg_petrosian,eeg_petrosian_c7min_norm,eeg_petrosian_p2min_norm,eeg_sdelta,eeg_sdelta_c7min_norm,eeg_sdelta_p2min_norm,eeg_sigma,eeg_sigma_c7min_norm,eeg_sigma_p2min_norm,eeg_skew,eeg_skew_c7min_norm,eeg_skew_p2min_norm,eeg_std,eeg_std_c7min_norm,eeg_std_p2min_norm,eeg_theta,eeg_theta_c7min_norm,eeg_theta_p2min_norm,time_hour,time_norm
0,2335.3062942856604,0.53015462385270995,0.32459856741988952,0.014236249915009113,-0.54459826374962872,-0.39863116853510344,0.31569374586245635,-0.65102334301018394,-0.33834446092068110,0.0090671675157153672,-0.35186978826348547,-0.35808607265762565,102.24159038387764,0.27020386196336238,0.31645180839400711,203.30629910101109,0.40096655260364467,0.39368296677823289,20.557467420964073,0.14366786963035680,0.14898701533499484,0.28397380204511646,0.065515020198730220,-0.19261217955791232,3.8894671922593251,-0.085681532956855655,-0.16516876677505626,1.3855415354999983,-0.46837095960083747,-0.29900831068730582,0.30433402187959951,-0.017653100953599479,0.24263537983137670,52.669552354730563,0.80515393156671522,0.86470358667834346,5.0846416903446876,0.13384939445030841,0.024306153739565892,67.000000000000000,-0.70386471769377668,-0.66467791554022571,0.82488577986922651,-0.69176641282314166,-0.83102057609366964,1.0134837843836391,-0.64970265871257682,-0.77552991506664848,0.64306782503865556,0.22537246249939005,0.36966049105390986,0.0045598273697519762,-0.52954290039185059,-0.42770552332179551,-0.46578136424200112,-0.022151959461247209,-0.17832155206204781,116.17775221395762,0.83089942402282757,0.79061677155452292,0.045095128115751969,-0.56458823042725570,-0.41717598765785374,0.0000000000000000,0.0000000000000000
1,106.20025556368151,0.65589112327138765,0.16934402266034421,0.012298332406153006,-0.52168445064955504,-0.42278830717987320,0.27181063238290692,-0.60214766310514722,-0.44181479629302389,0.0092263188598809154,-0.32879710679281682,-0.35666055256832602,100.59776350515521,0.26412958911569551,0.31249595648248646,182.62169386383744,0.40200526857974245,0.36262698152862571,20.513369315951032,0.13951034212928590,0.14859669460467195,0.33984124643987879,0.11338779798468200,-0.092289768212000967,4.3663942511725580,-0.083682437626714581,-0.12269815492936526,1.5254840391579716,-0.48325372856259774,-0.091244165200690480,0.27414616020350346,-0.025705493156425809,0.17559656136324089,22.271471956038564,0.83081181417817318,0.59724811671445588,12.978412770149156,0.13769147527169151,0.17372128409395071,91.000000000000000,-0.68774440628222766,-0.61993101519530169,0.85496903284731240,-0.65127644615748537,-0.67117701165522814,1.0149689367173862,-0.61170052234446182,-0.64691751890381366,0.58830579624957480,0.18092567169771376,0.29708773639542374,0.0050823482306624488,-0.50073299658610071,-0.41590045471587322,0.49081514020592831,0.020514354554332873,-0.00064605786490688516,64.661541481718615,0.85171208048251146,0.58281627023708571,0.045245957813850400,-0.55597227343603117,-0.41624623493099877,0.0083333333333333332,0.0010405827263267431
2,6951.1266027082966,0.76113486762195992,0.43541974594816146,0.013507410628404375,-0.50319720094116505,-0.42079283205463935,0.37907499599289485,-0.56457077722525439,-0.30769518107345778,0.018751351637733064,-0.31003076812047048,-0.29930817364445317,49.439038960176077,0.26020034788448299,0.22910205460873692,183.21562182109560,0.40732341978697412,0.35286947101235761,26.016905193392496,0.13524833878689507,0.18094181752444699,0.21667445974070224,0.16367068316422612,-0.20629785496310510,5.2332734475913361,-0.073035420336495377,-0.057077244296358458,1.2544664089391360,-0.52564597071957109,-0.29023173946635400,0.20689403694474437,-0.048228589734487674,0.053684820116716658,76.295191091370668,0.85458935502863131,0.82497900442906358,6.3740532462985175,0.14450644852225397,0.14018709469230983,37.000000000000000,-0.66904536895687794,-0.67213573226437973,0.82718745346238010,-0.61773423241133496,-0.71630509854884949,1.0134991608450858,-0.57916833297678760,-0.68890059564671335,0.71037434443314418,0.13626410093567889,0.38074345321038700,0.0050598786007400665,-0.48026578958715616,-0.41230386238353828,0.99237731344024238,0.036406444862362539,0.12068492095985570,168.41579662039567,0.87402729103353360,0.79255787445830594,0.035632554959276579,-0.54693062163628225,-0.45544262869451163,0.016666666666666666,0.0020811654526534861
3,28.160020353869843,0.80764856570477428,0.32736947484778545,0.014921781615302323,-0.48838051715832631,-0.41097966352824500,0.29341755698072020,-0.56555205969200018,-0.34161959312092477,0.020653942988367521,-0.29948204176097704,-0.26211121985508518,43.872638453455011,0.26431605288981536,0.18070736184459751,122.01983912685972,0.41068170798150583,0.30205086573294171,17.818130862330058,0.12479559601397905,0.16082992204784566,0.47726220776409589,0.23585355981602499,-0.029330293478935610,4.3799975444539436,-0.066700087279866399,-0.062259128691096711,1.3238024226464107,-0.55473598318636963,-0.33825603997863701,0.26257645214100017,-0.072001493138820372,0.054556503963220128,8.6364484104505017,0.83410262901064158,0.64119899529141622,33.386629654401176,0.15855100307806225,0.37907015657827081,197.00000000000000,-0.63243701467117552,-0.54908175631583866,0.88782821971061276,-0.57890645098162774,-0.57776561648170244,1.0173309295567239,-0.54099198998901876,-0.54397886561216136,0.42888076560282451,0.074778276829504498,0.23604823270606845,0.0074261938046388956,-0.46186388987470672,-0.38377504173975696,-2.6534665517888438,0.028713772670857167,-0.15723388692980950,79.746595190563937,0.86038129736686464,0.71859657453112857,0.050855108224770615,-0.52495573505768034,-0.42812297522344089,0.025000000000000001,0.0031217481789802288
4,47.810477993023021,0.86077354479168999,0.24770881370635903,0.0068503241014095054,-0.47712825041970169,-0.45701434588281720,0.11766140249348618,-0.58232098591728110,-0.57508608351144053,0.0061275301143390287,-0.29588867116740797,-0.27527639980656465,151.19481874856172,0.27547026172407851,0.23961007371412449,394.11963082156888,0.42020953884190304,0.44529498249017679,15.912750907175177,0.11361181319809527,0.14027428659288937,0.49617223533912402,0.29091022158688806,0.16119442751470256,6.7272272285320627,-0.058320926010594833,0.064092902252989387,1.3351224270944797,-0.56643867815465554,-0.37568313575102524,0.14829460915558673,-0.091764173556811504,-0.11870349662441329,8.5917935525471094,0.82799178285691577,0.44729139420651148,1.6378002558924845,0.14652727856238629,0.34644884940880022,160.00000000000000,-0.60635134883376773,-0.46238463689754833,0.88618400223384497,-0.54608532108109287,-0.41491543595703873,1.0168339605977739,-0.51022527526308026,-0.39891826116203338,0.43027856967471911,0.025853134733713017,0.095049964700263015,0.0023506842404236350,-0.44921818434562039,-0.40873010875524518,0.13934896506303085,0.077988381188702105,-0.10103630006166582,8.6322519459861091,0.84056958403935333,0.50169388941056314,0.058220656529984371,-0.49419965348973183,-0.38766842287599323,0.033333333333333333,0.0041623309053069723
5,10914.774869797453,0.92166522536176043,0.62411090092930277,0.011442012039131914,-0.45782412048525428,-0.46235158282296923,0.25943515887581736,-0.57239322520457148,-0.58967591423034382,0.0085361693774541371,-0.27995934483855178,-0.27836723751509124,109.07499348833973,0.26873722136539346,0.24981025563943879,192.54560379084376,0.40388667785904320,0.45274489020602854,21.111284136776831,0.10262308201600047,0.14292041559850760,0.37280942243021981,0.33090302972617486,0.19079527062519819,5.3153758941197742,-0.069254350614882068,0.10634656584060088,1.3988479093234376,-0.56352237530487803,-0.46968762550600385,0.22532418017609784,-0.086306784924221586,-0.17291349485863505,89.066134525662875,0.83292313707803267,0.74113557177186284,1.1844564766241774,0.14299762008484343,0.23482947894723610,90.000000000000000,-0.57585903530230420,-0.46331686398806760,0.87185949500074322,-0.51334515537374281,-0.37004276747295478,1.0162145200689683,-0.47754467289264663,-0.34498525515745565,0.55827319683095522,-0.015876986800498306,0.075149784616004994,0.0048356472489113839,-0.42845858610233928,-0.41151690851061290,0.040202648439979671,0.13482242091243815,-0.14288403669547561,198.77928077808545,0.83827741728062199,0.77218868187698020,0.044103552073328695,-0.46054158550747809,-0.39118946304850527,0.041666666666666664,0.0052029136316337149
6,507.11239029367101,0.92310365369981440,0.39970199538749396,0.013271106498469892,-0.44075079994125133,-0.46382440909216593,0.26171237517898327,-0.57563748049014019,-0.72803835906292969,0.043504775119678825,-0.26141092017713058,-0.16750891383121955,20.358890736997964,0.25826120320843676,0.21481972183536549,130.12867861345421,0.40020545557436982,0.41289236930221368,17.466591538761694,0.089489167151789770,0.10508018789282295,0.33349394302148472,0.37312737027010978,0.29568294162818926,4.9451355787788476,-0.076116548809894394,0.093517149522448398,1.2940511401740655,-0.56648617436526894,-0.44030310098926739,0.22687391119376116,-0.084447514602674675,-0.15072863166481970,39.710242244137667,0.79374997960258509,0.58019046340964997,10.144086783569707,0.15195009075228663,0.27050951366808906,91.000000000000000,-0.53851422335898858,-0.41297660110002804,0.84408488318350416,-0.48147644911483839,-0.32515158834348945,1.0146179444250083,-0.44628222038076143,-0.29654260259856019,0.55221502017772395,-0.060264853658010230,-0.029649636533537940,0.0068064086459388197,-0.40985648754406562,-0.39178764165421420,1.3384442356071768,0.18936936656042722,-0.11074529735480695,125.73928154790420,0.79856649628135534,0.68611673383873717,0.050708746536704180,-0.42193020653886709,-0.34472271808242377,0.050000000000000003,0.0062434963579604576
7,253.65732338582373,0.93603829945169215,0.40755480286245899,0.0098035349912228131,-0.42630188894422449,-0.49572519763217854,0.24257382467087318,-0.58775434866308485,-0.78797961683322404,0.0052504651658990733,-0.26327429532791902,-0.23649346182903527,179.48241357143681,0.25973441157253579,0.37799146305250636,435.23393781483094,0.41037893535423275,0.64802309375378053,23.317442530756399,0.077229509301736610,0.12941791562577903,0.47085319098529244,0.43725831930819842,0.28992853470505608,3.2578987247746620,-0.088030566868334839,0.043555396952044488,1.2535327429586378,-0.55427242997827642,-0.49246566622974070,0.27736872322107059,-0.072707789056445996,-0.13430387812797812,23.625614243620817,0.74838190929596593,0.64613104813896916,20.344671823090813,0.16015643747920330,0.14707891188467023,116.00000000000000,-0.49290441725379974,-0.48848699543208735,0.83802805208469722,-0.43521019385724141,-0.45745503818578104,1.0140977723100586,-0.40251142833530112,-0.43653635651055994,0.47151296936302767,-0.11689058086174260,-0.0014007154064894158,0.0021651945734738340,-0.39525792124638520,-0.45121728504815428,2.5694614036449948,0.21919619488101588,0.37430054032224441,50.348048543343765,0.75166503656895223,0.62682439998436301,0.040414644921084771,-0.38395376297913969,-0.37690155735815012,0.058333333333333334,0.0072840790842872011
8,29050.429354959422,0.96213952090530575,1.4175535001787190,0.052513921726791354,-0.40940287184655394,-0.21111508037634782,0.82234190926506023,-0.60275881747221560,0.042790155233959244,0.039813307832678384,-0.26070853854336123,-0.085631547614772638,20.485009360395498,0.25167904327470036,0.22071557955906373,28.882420161976430,0.40490760020125932,0.37383846956605210,12.771514475926667,0.061317425215996361,0.11551607451946368,0.48182881333845323,0.49132254093685424,0.27705013389714117,3.2581117678310192,-0.097089407744643988,-0.11090790453796859,1.4211920547908110,-0.51354355100376370,-0.42857448884168842,0.35322266095815269,-0.041606372722643968,0.093240136271348029,123.54754921041683,0.70449661355876303,1.1518462981034427,0.49644509076595522,0.16333049505780567,0.13627699420464448,125.00000000000000,-0.44260571871196080,-0.52111494360026112,0.90835512846991540,-0.37003492189062187,-0.39855329893953312,1.0184252505827265,-0.34025070334480084,-0.36763446230609914,0.33374717028227080,-0.16885534807451380,-0.065364283958074254,0.028237799292679288,-0.37593025517333511,-0.15878956391489052,-0.074831613164526606,0.21159091883915765,0.35440989682361856,232.08695578010639,0.71065270174753725,1.0774980696746217,0.063858987527127084,-0.33859896792902433,-0.35952350222180873,0.066666666666666666,0.0083246618106139446
9,76.792271287183510,0.81356183180235031,1.0401272976530860,0.013888485280054238,-0.43048862531253984,-0.19586680664911257,0.26621702953378346,-0.72179262694173441,0.050785513536858853,0.0077812874140042280,-0.27827814274844659,-0.089012290044533218,118.50516151442740,0.25650982243825787,0.23206237912014413,228.37707343228234,0.41771505310822077,0.40073725685004652,17.675417218623995,0.049100296854944638,0.10031031812257211,0.48479990410757318,0.52710165506594775,0.37760203215719040,5.7916173729939935,-0.094961472372400352,-0.089703124251257385,1.2938594656701015,-0.47335977441124688,-0.50650947539486857,0.15707477952283957,-0.028371009668541291,0.017458697525459654,13.277751847187259,0.59641400442316261,0.81843679919398449,22.305907990129608,0.17146050945654526,0.33617286141811353,148.00000000000000,-0.38979588998573356,-0.46704577235014455,0.86873653601155143,-0.32250358873008089,-0.40685002298050049,1.0158205510884968,-0.29524054452236098,-0.38469308095448251,0.43732281767917897,-0.19635471222414880,-0.14550833984979955,0.0040377201963759162,-0.39765535277333613,-0.16780315964127859,-0.55649914472226358,0.21282705315375103,0.29899505603366211,57.722578201154683,0.61526693605956762,0.79300845860810409,0.052169785322812197,-0.30068127217936896,-0.33466234273628909,0.074999999999999997,0.0093652445369406864
